,Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
0,100 m,11.11,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Masoud Azizi,11.11
1,200 m,22.31,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Said Gilani,22.31
2,400 m,49,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Habib Zareef,49.0
3,800 m,01:53.6,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Wais Ibrahim Khairandesh,113.6
4,1500 m,04:02.0,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Nesrulaha,242.0
5,3000 m,08:52.6,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Aman Haidari,532.6
6,5000 m,15:52.7,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Aman Haidari,952.7
7,10000 m,33:25.6,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Nouruddin,2005.6
8,Half marathon,1:13:16,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Mohammad Karim Yaqoot,4396.0
9,Marathon,2:28:46,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Waheed Karim,8926.0
10,110 m hurdles,15.45,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Said Gilani,15.45
11,400 m hurdles,54.19,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Said Gilani,54.19
12,3000 m steeplechase,10:52.5,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Noor Ahmad Zoori,652.5
13,High jump,1.9,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Abdoul Skour,1.9
14,Pole vault,3.72,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Said Gilani,3.72
15,Long jump,7.05,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Mohammed Anwar,7.05
16,Triple jump,12.99,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Mohammed Anwar,12.99
17,Shot put,14.9,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Noorullah Osmani,14.9
18,Discus throw,39.9,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Abdoul Hakim,39.9
19,Hammer throw,17.44,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Najibullah Najm,17.44
20,Javelin throw,49.59,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Said Gilani,49.59
21,4 × 100 m relay,43.11,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Afghanistan,43.11
22,4 × 400 m relay,03:20.8,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,AfghanistanZ. WahabW. KhairandeshG. ZaherS. Koshal,200.8
23,100 m,13.33,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Kamia Yousufi,13.33
24,200 m,30.39,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Kamia Yousufi,30.39
25,400 m,01:12.7,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Yalda Amini,72.7
26,800 m,02:38.3,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Mehrangiz Bijanpoor,158.3
27,1500 m,05:27.3,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Mehrangiz Bijanpoor,327.3
28,3000 m,11:51.0,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Mehrangiz Bijanpoor,711.0
29,5000 m,21:33.6,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Shabnam Fayyaz,1293.6
30,10000 m,46:11.5,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Shabnam Fayyaz,2771.5
31,Half marathon,1:45:06,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Sahar Zamir,6306.0
32,Marathon,3:24:07,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Sahar Zamir,12247.0
33,High jump,1.11,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Asma Mohammadi,1.11
34,Long jump,3.76,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Yalda Amini,3.76
35,Triple jump,9.14,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Farkhunda Muhtaj,9.14
36,Shot put,4.78,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Yalda Amini,4.78
37,Discus throw,12.78,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Asra Mohammadi,12.78
