,Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
0,100 m,11.11s,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Masoud Azizi,11.11
1,200 m,22.31s,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Said Gilani,22.31
2,400 m,49s,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Habib Zareef,49.0
10,110 m hurdles,15.45s,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Said Gilani,15.45
11,400 m hurdles,54.19s,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4.0,Said Gilani,54.19
23,100 m,13.33s,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Kamia Yousufi,13.33
24,200 m,30.39s,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Kamia Yousufi,30.39
25,400 m,01:12.7s,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Yalda Amini,72.7
39,100 m,10.56s,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Arben Makaj,10.56
40,200 m,21.45s,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Franko Burraj,21.45
41,400 m,46.48s,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Franko Burraj,46.48
49,110 m hurdles,13.93s,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Elton Bitincka,13.93
50,400 m hurdles,50.53s,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Ilir Xhani,50.53
62,100 m,11.67s,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Klodiana Shala,11.67
63,200 m,23.27s,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Klodiana Shala,23.27
64,400 m,52.86s,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Klodiana Shala,52.86
72,100 m hurdles,14.18s,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Anila Meta,14.18
73,400 m hurdles,56.48s,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Female,AL,ALB,8.0,Klodiana Shala,56.48
85,100 m,10.81s,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Kelsey Nakanelua,10.81
86,200 m,22.43s,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Faresa Kapisi,22.43
87,400 m,49.45s,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Kelsey Nakanelua,49.45
95,110 m hurdles,15.42s,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Male,AS,ASM,16.0,Aaron Victorian,15.42
105,100 m,13.39s,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Lila Waetin,13.39
106,200 m,28.72s,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Tafailagi Niusulu,28.72
107,400 m,01:07.1s,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Afega Fetaiai,67.1
115,100 m hurdles,15.83s,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Jordan Mageo,15.83
116,400 m hurdles,01:07.9s,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Jordan Mageo,67.9
124,100 m,10.49s,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Male,AO,AGO,24.0,Afonso Ferraz,10.49
